season,n,rps_baseline,rps_teamhome,delta_baseline_minus_teamhome
2016/17,92,0.20665988336516544,0.20924241775291658,-0.002582534387751103
2017/18,93,0.21297356039840554,0.21275986134359431,0.00021369905481118687
2018/19,92,0.1899952433421415,0.18996374790070467,3.14954414368625e-05
2019/20,92,0.20444635277292625,0.2044770052297004,-3.06524567741354e-05
2020/21,93,0.20996085495345776,0.20708511491928985,0.0028757400341678915
2021/22,92,0.2075974663470236,0.20700701219355003,0.0005904541534735925
2022/23,93,0.20678610795878763,0.20603816181164528,0.0007479461471423341
2023/24,92,0.18022962220021574,0.18176565250696117,-0.0015360303067454184
2024/25,92,0.21996933385678355,0.22076750678362392,-0.0007981729268403481
2025/26,94,0.1979973491098675,0.19739608310415674,0.0006012660057107497
