season,n,rps_model,rps_book,d_rps,rel,rhat,rps_paper,d_paper
2016/17,92,0.2092424177529166,0.1979119576737917,-0.011330460079124915,-5.725000253799895,1.3806331859265941,0.1996758691651641,-0.009566548587752494
2017/18,93,0.2127598613435944,0.20485265795437754,-0.007907203389216855,-3.859946689575225,1.3927878307739396,0.21310883293516633,0.0003489715915719338
2018/19,92,0.18996374790070467,0.18806206755468904,-0.0019016803460156217,-1.0111982553114316,1.3594012826331787,0.19293860894656048,0.0029748610458558145
2019/20,92,0.20447700522970041,0.18838268556649257,-0.016094319663207846,-8.54341767918321,1.30075288465709,0.2050485921322636,0.0005715869025631759
2020/21,93,0.20708511491928994,0.19639949483389885,-0.01068562008539109,-5.440757418662534,1.4495661328574079,0.2140500755366248,0.00696496061733487
2021/22,92,0.20700701219355003,0.2101653597670918,0.0031583475735417754,1.5027916955686231,1.3763010299413059,0.2210651126389687,0.014058100445418664
2022/23,93,0.20603816181164536,0.20741626921630155,0.001378107404656187,0.6644162532973942,1.4624885900616658,0.22060802208914085,0.014569860277495489
2023/24,92,0.18176565250696122,0.1774906150041132,-0.0042750375028480225,-2.4085991829759292,1.2568491349220927,0.19639649640868703,0.01463084390172581
2024/25,92,0.22076750678362395,0.22511165700469374,0.004344150221069792,1.9297757738859402,1.4461590724723186,0.23015191416527667,0.00938440738165272
2025/26,94,0.19739608310415677,0.19832896037700298,0.0009328772728462165,0.470368659762504,1.304115260968095,0.20583260453078733,0.008436521426630567
