comparison,team_home_advantage,team_home_prior_sd,n,mean_delta_rps,rel_pct,ci_lo,ci_hi,wilcoxon_p,frac_v2_better
v2_vs_bookmaker,True,0.15,925,-0.004231768769885158,-2.1220265041905737,-0.008202283666350984,-0.0003979233794806075,0.001023562250823374,0.43567567567567567
v2_vs_paper,True,0.15,925,0.0062455403411560695,2.975506162774223,0.0018106600420122417,0.010592329018580968,0.00031756182815163077,0.5502702702702703
