price_variant,rule,kind,signal,threshold,split,n,roi,profit,hit_rate,avg_odds,profitable_seasons,ci95_low,ci95_high
closing,favorite_gap_04,market_favorite,gap,0.04,development,87,0.09321839080459768,8.109999999999998,0.5172413793103449,2.143793103448276,4,,
closing,favorite_gap_04,market_favorite,gap,0.04,locked_test,84,-0.17250000000000001,-14.49,0.4166666666666667,2.0913095238095236,1,-0.39720055555555556,0.05557082918503759
closing,model_favorite_gap_05,model_favorite,gap,0.05,development,117,-0.007350427350427368,-0.8600000000000021,0.4017094017094017,2.644444444444445,4,,
closing,model_favorite_gap_05,model_favorite,gap,0.05,locked_test,97,-0.21639175257731957,-20.99,0.36082474226804123,2.3490721649484536,0,-0.43010998376623377,-0.008234600443951226
closing,any_gap_10,any,gap,0.1,development,71,0.09323943661971834,6.620000000000002,0.2676056338028169,4.5056338028169005,4,,
closing,any_gap_10,any,gap,0.1,locked_test,44,0.3615909090909091,15.91,0.45454545454545453,3.0309090909090908,3,-0.20512228081740277,0.9019576086956521
closing,away_gap_10,A,gap,0.1,development,36,0.05166666666666667,1.8600000000000003,0.25,4.858611111111111,2,,
closing,away_gap_10,A,gap,0.1,locked_test,18,1.1044444444444446,19.880000000000003,0.5555555555555556,3.6205555555555557,3,0.08704901960784314,2.218836274509803
closing,underdog_gap_10,dog>=3.5,gap,0.1,development,39,0.4317948717948717,16.839999999999996,0.2564102564102564,6.0289743589743585,4,,
closing,underdog_gap_10,dog>=3.5,gap,0.1,locked_test,8,2.1175,16.94,0.5,5.7700000000000005,3,0.0285714285714286,3.799000000000001
closing,draw_edge_0,D,edge,0.0,development,324,0.07719135802469138,25.010000000000005,0.23765432098765432,4.790432098765431,3,,
closing,draw_edge_0,D,edge,0.0,locked_test,116,0.3269827586206897,37.93000000000001,0.28448275862068967,4.997413793103448,3,-0.06536616109858577,0.7532514411027558
closing,draw_edge_025,D,edge,0.025,development,278,0.10028776978417267,27.880000000000003,0.23741007194244604,4.924496402877697,3,,
closing,draw_edge_025,D,edge,0.025,locked_test,95,0.2308421052631579,21.93,0.25263157894736843,5.197263157894738,3,-0.19032320085929105,0.6874165072914176
opening,favorite_gap_04,market_favorite,gap,0.04,development,94,-0.01595744680851062,-1.4999999999999982,0.46808510638297873,2.1523404255319147,2,,
opening,favorite_gap_04,market_favorite,gap,0.04,locked_test,91,-0.12747252747252744,-11.599999999999998,0.45054945054945056,2.067582417582418,0,-0.3405836006415397,0.08632218045112727
opening,model_favorite_gap_05,model_favorite,gap,0.05,development,124,-0.005080645161290318,-0.6299999999999994,0.4112903225806452,2.569838709677419,4,,
opening,model_favorite_gap_05,model_favorite,gap,0.05,locked_test,93,-0.08623655913978494,-8.02,0.43010752688172044,2.253440860215054,1,-0.31835168067226893,0.13999999999999999
opening,any_gap_10,any,gap,0.1,development,67,0.17298507462686563,11.589999999999998,0.34328358208955223,4.081940298507462,4,,
opening,any_gap_10,any,gap,0.1,locked_test,34,0.10676470588235296,3.6300000000000003,0.47058823529411764,2.7423529411764704,2,-0.3343799107142857,0.5830808823529409
opening,away_gap_10,A,gap,0.1,development,28,0.16642857142857145,4.660000000000001,0.32142857142857145,4.444285714285714,3,,
opening,away_gap_10,A,gap,0.1,locked_test,9,0.26555555555555554,2.39,0.4444444444444444,3.1688888888888886,2,-0.6444444444444444,1.2222222222222223
opening,underdog_gap_10,dog>=3.5,gap,0.1,development,33,0.13969696969696974,4.610000000000001,0.21212121212121213,5.6006060606060615,4,,
opening,underdog_gap_10,dog>=3.5,gap,0.1,locked_test,4,0.08250000000000002,0.33000000000000007,0.25,6.210000000000001,1,-1.0,3.33
opening,draw_edge_0,D,edge,0.0,development,318,-0.002389937106918241,-0.7600000000000007,0.23270440251572327,4.598867924528302,3,,
opening,draw_edge_0,D,edge,0.0,locked_test,138,0.22840579710144926,31.52,0.2536231884057971,4.915579710144928,3,-0.1373461657390229,0.6230526626221765
opening,draw_edge_025,D,edge,0.025,development,269,-0.006877323420074342,-1.8499999999999979,0.22676579925650558,4.703828996282528,3,,
opening,draw_edge_025,D,edge,0.025,locked_test,101,0.5094059405940593,51.44999999999999,0.3069306930693069,5.108316831683169,4,0.04022664141414141,1.0048659720239772
opening_mean,favorite_gap_04,market_favorite,gap,0.04,development,97,-0.06793814432989691,-6.59,0.4536082474226804,2.1085051546391753,2,,
opening_mean,favorite_gap_04,market_favorite,gap,0.04,locked_test,95,-0.09489473684210527,-9.015,0.47368421052631576,2.0426842105263163,1,-0.3043159676535087,0.10387419354838681
opening_mean,model_favorite_gap_05,model_favorite,gap,0.05,development,121,-0.03264462809917354,-3.949999999999998,0.4049586776859504,2.541280991735537,2,,
opening_mean,model_favorite_gap_05,model_favorite,gap,0.05,locked_test,92,-0.062336956521739144,-5.735000000000001,0.44565217391304346,2.2133695652173917,2,-0.3016854459269663,0.1627335522669326
opening_mean,any_gap_10,any,gap,0.1,development,67,0.16380597014925372,10.975,0.34328358208955223,3.9797761194029855,4,,
opening_mean,any_gap_10,any,gap,0.1,locked_test,34,0.10367647058823531,3.525000000000001,0.47058823529411764,2.715441176470588,2,-0.3418058712121212,0.5853472363083163
opening_mean,away_gap_10,A,gap,0.1,development,30,0.07933333333333335,2.380000000000001,0.3,4.3985,3,,
opening_mean,away_gap_10,A,gap,0.1,locked_test,9,0.2661111111111112,2.3950000000000005,0.4444444444444444,3.1399999999999997,2,-0.6444444444444444,1.2433333333333332
opening_mean,underdog_gap_10,dog>=3.5,gap,0.1,development,33,0.128939393939394,4.255000000000002,0.21212121212121213,5.402727272727272,4,,
opening_mean,underdog_gap_10,dog>=3.5,gap,0.1,locked_test,4,0.08250000000000002,0.33000000000000007,0.25,6.115,1,-1.0,3.33
opening_mean,draw_edge_0,D,edge,0.0,development,286,-0.029947552447552445,-8.565,0.22727272727272727,4.571573426573426,3,,
opening_mean,draw_edge_0,D,edge,0.0,locked_test,127,0.33661417322834647,42.75,0.28346456692913385,4.7895669291338585,3,-0.049481392493330126,0.7326080128205127
opening_mean,draw_edge_025,D,edge,0.025,development,240,-0.0535,-12.84,0.21666666666666667,4.7162083333333324,3,,
opening_mean,draw_edge_025,D,edge,0.025,locked_test,85,0.39499999999999996,33.574999999999996,0.29411764705882354,4.992470588235293,3,-0.0831337623220153,0.877802678571428
open_close_mid,favorite_gap_04,market_favorite,gap,0.04,development,90,0.028462846840014225,2.56165621560128,0.4888888888888889,2.118546989524827,3,,
open_close_mid,favorite_gap_04,market_favorite,gap,0.04,locked_test,83,-0.1644064122919184,-13.645732220229227,0.43373493975903615,2.0411297617150463,2,-0.3847155055978003,0.05458870582964414
open_close_mid,model_favorite_gap_05,model_favorite,gap,0.05,development,122,-0.024796214495871455,-3.0251381684963174,0.4016393442622951,2.5634000454256873,3,,
open_close_mid,model_favorite_gap_05,model_favorite,gap,0.05,locked_test,88,-0.23679931622514072,-20.838339827812383,0.3522727272727273,2.2986325891175365,1,-0.4720336828609422,-0.0056349004409232345
open_close_mid,any_gap_10,any,gap,0.1,development,66,0.20268816510462803,13.37741889690545,0.3181818181818182,4.262273607759381,4,,
open_close_mid,any_gap_10,any,gap,0.1,locked_test,35,0.2026573656538333,7.093007797884165,0.5142857142857142,2.7132166558439557,3,-0.22039151995740644,0.6047565736346465
open_close_mid,away_gap_10,A,gap,0.1,development,29,0.23016234246720957,6.674707931549078,0.3103448275862069,4.600785418207761,3,,
open_close_mid,away_gap_10,A,gap,0.1,locked_test,14,0.42290920935864856,5.92072893102108,0.5714285714285714,2.7622043502449114,3,-0.23380697585441415,0.9889071991861867
open_close_mid,underdog_gap_10,dog>=3.5,gap,0.1,development,33,0.49869098145047697,16.45680238786574,0.2727272727272727,5.910121246126877,3,,
open_close_mid,underdog_gap_10,dog>=3.5,gap,0.1,locked_test,4,0.08748850568638189,0.34995402274552756,0.25,5.768887494151683,1,-1.0,3.349954022745527
open_close_mid,draw_edge_0,D,edge,0.0,development,304,0.05583152719340292,16.972784266794488,0.24342105263157895,4.649621211101526,3,,
open_close_mid,draw_edge_0,D,edge,0.0,locked_test,119,0.2703803795725219,32.17526516913011,0.2689075630252101,4.98134086278095,3,-0.11705229219098438,0.6761010777786151
open_close_mid,draw_edge_025,D,edge,0.025,development,265,0.03356929396602767,8.895862900997331,0.2339622641509434,4.7618285298272065,3,,
open_close_mid,draw_edge_025,D,edge,0.025,locked_test,88,0.33691891504059607,29.648864523572456,0.2727272727272727,5.101359604645254,3,-0.10389400265608134,0.8036727541664279
