price_variant,kind,signal,threshold,dev_n,dev_roi,dev_profit,dev_hit_rate,dev_avg_odds,dev_profitable_seasons,test_n,test_roi,test_profit,test_hit_rate,test_avg_odds,test_profitable_seasons,dev_selection_score
closing,A,gap,0.1,36,0.05166666666666667,1.8600000000000003,0.25,4.858611111111111,2,18,1.1044444444444446,19.880000000000003,0.5555555555555556,3.6205555555555557,3,0.04162790697674419
closing,D,edge,0.05,229,0.11209606986899563,25.669999999999998,0.22707423580786026,5.0794759825327525,3,79,0.02645569620253165,2.0900000000000003,0.20253164556962025,5.321012658227849,3,0.12200716845878136
closing,H,gap,0.075,76,0.09986842105263158,7.59,0.32894736842105265,4.381842105263158,3,46,-0.2654347826086956,-12.209999999999997,0.30434782608695654,2.9371739130434786,0,0.09023809523809523
closing,agree_favorite,gap,0.04,87,0.09321839080459768,8.109999999999998,0.5172413793103449,2.143793103448276,4,84,-0.17250000000000001,-14.49,0.4166666666666667,2.0913095238095236,1,0.09919708029197079
closing,any,gap,0.1,71,0.09323943661971834,6.620000000000002,0.2676056338028169,4.5056338028169005,4,44,0.3615909090909091,15.91,0.45454545454545453,3.0309090909090908,3,0.09471074380165291
closing,disagree_model_pick,gap,0.05,50,-0.0736,-3.6799999999999997,0.28,3.2790000000000004,2,27,-0.3174074074074074,-8.57,0.2222222222222222,2.9792592592592593,1,-0.0168
closing,dog>=3.5,gap,0.1,39,0.4317948717948717,16.839999999999996,0.2564102564102564,6.0289743589743585,4,8,2.1175,16.94,0.5,5.7700000000000005,3,0.22921348314606738
closing,fav_odds<2,gap,0.03,33,-0.20606060606060608,-6.800000000000001,0.48484848484848486,1.7303030303030305,3,44,-0.08090909090909092,-3.56,0.5454545454545454,1.6734090909090908,1,-0.0519277108433735
closing,market_favorite,gap,0.04,87,0.09321839080459768,8.109999999999998,0.5172413793103449,2.143793103448276,4,84,-0.17250000000000001,-14.49,0.4166666666666667,2.0913095238095236,1,0.09919708029197079
closing,mid_2-3.5,edge,0.0,206,0.06373786407766992,13.130000000000003,0.4029126213592233,2.758203883495146,4,137,-0.29065693430656936,-39.82,0.2773722627737226,2.711824817518248,0,0.09128906250000002
closing,model_favorite,gap,0.05,117,-0.007350427350427368,-0.8600000000000021,0.4017094017094017,2.644444444444445,4,97,-0.21639175257731957,-20.99,0.36082474226804123,2.3490721649484536,0,0.03485029940119759
open_close_mid,A,edge,0.3,82,0.17886890905251393,14.667250542306142,0.18292682926829268,9.64328749044981,4,24,0.40060606124116366,9.614545469787927,0.2916666666666667,9.734037748370696,3,0.15111553441141018
open_close_mid,D,edge,0.0,304,0.05583152719340292,16.972784266794488,0.24342105263157895,4.649621211101526,3,119,0.2703803795725219,32.17526516913011,0.2689075630252101,4.98134086278095,3,0.07794571826778104
open_close_mid,H,gap,0.1,35,0.09666929425796021,3.3834252990286076,0.3142857142857143,3.9314729408312603,4,21,0.05582280318395644,1.1722788668630852,0.47619047619047616,2.680558192909986,2,0.07980500351798361
open_close_mid,agree_favorite,gap,0.075,37,0.22372936676140168,8.277986570171862,0.5675675675675675,2.205393116282589,5,42,-0.17448428754721754,-7.328340076983137,0.40476190476190477,2.1075765882480866,2,0.14514927092151564
open_close_mid,any,gap,0.1,66,0.20268816510462803,13.37741889690545,0.3181818181818182,4.262273607759381,4,35,0.2026573656538333,7.093007797884165,0.5142857142857142,2.7132166558439557,3,0.15532257669746077
open_close_mid,disagree_model_pick,gap,0.04,54,-0.10900082568883457,-5.886044587197067,0.2777777777777778,3.165218795554648,2,30,-0.21041533176017618,-6.312459952805286,0.26666666666666666,2.8998617705312957,2,-0.03659658256920256
open_close_mid,dog>=3.5,gap,0.1,33,0.49869098145047697,16.45680238786574,0.2727272727272727,5.910121246126877,3,4,0.08748850568638189,0.34995402274552756,0.25,5.768887494151683,1,0.22827472756464745
open_close_mid,fav_odds<2,edge,0.025,37,-0.06855935439580478,-2.536696112644777,0.5405405405405406,1.775347952045472,1,38,-0.09256543057424638,-3.5174863618213625,0.5263157894736842,1.721907593992389,1,-0.019157426582123875
open_close_mid,market_favorite,gap,0.075,37,0.22372936676140168,8.277986570171862,0.5675675675675675,2.205393116282589,5,42,-0.17448428754721754,-7.328340076983137,0.40476190476190477,2.1075765882480866,2,0.14514927092151564
open_close_mid,mid_2-3.5,edge,0.0,195,0.0567807499245694,11.072246235291033,0.38974358974358975,2.797346751811715,3,134,-0.2894989260457648,-38.79285609013249,0.27611940298507465,2.6891168876517,0,0.07519284177669809
open_close_mid,model_favorite,edge,0.1,104,0.01523820408781197,1.584773225132445,0.3942307692307692,2.7179367184578362,4,72,-0.1678127577013641,-12.082518554498217,0.3611111111111111,2.435600598042556,1,0.05029073522813276
opening,A,edge,0.3,83,0.2478313253012049,20.570000000000007,0.1927710843373494,10.065060240963856,5,21,0.4080952380952381,8.57,0.2857142857142857,9.067142857142859,3,0.20466165413533838
opening,D,gap,0.01,293,0.0013310580204778176,0.39000000000000057,0.23208191126279865,4.595938566552902,3,130,0.29138461538461535,37.879999999999995,0.2692307692307692,4.798384615384615,3,0.031137026239067056
opening,H,gap,0.1,36,0.2758333333333333,9.93,0.3888888888888889,3.7588888888888885,5,25,0.04959999999999999,1.2399999999999998,0.48,2.5888,2,0.16546511627906976
opening,agree_favorite,gap,0.075,45,0.14600000000000002,6.57,0.5111111111111111,2.2877777777777784,4,46,-0.09369565217391305,-4.3100000000000005,0.45652173913043476,2.0728260869565216,1,0.10915789473684212
opening,any,gap,0.1,67,0.17298507462686563,11.589999999999998,0.34328358208955223,4.081940298507462,4,34,0.10676470588235296,3.6300000000000003,0.47058823529411764,2.7423529411764704,2,0.13905982905982905
opening,disagree_model_pick,edge,0.2,35,0.04000000000000002,1.4000000000000008,0.3142857142857143,3.3522857142857143,2,10,0.58,5.8,0.5,3.048,2,0.03647058823529413
opening,dog>=3.5,gap,0.075,74,0.17932432432432438,13.270000000000003,0.20270270270270271,6.533108108108108,3,16,-0.729375,-11.67,0.0625,5.518750000000001,1,0.13701612903225807
opening,fav_odds<2,gap,0.01,64,-0.046875,-3.0,0.578125,1.6998437499999999,3,65,0.034307692307692296,2.229999999999999,0.6461538461538462,1.6287692307692307,2,0.00368421052631579
opening,market_favorite,gap,0.075,45,0.14600000000000002,6.57,0.5111111111111111,2.2877777777777784,4,46,-0.09369565217391305,-4.3100000000000005,0.45652173913043476,2.0728260869565216,1,0.10915789473684212
opening,mid_2-3.5,gap,0.1,32,0.175,5.6,0.4375,2.6653125,4,20,0.13849999999999998,2.7699999999999996,0.45,2.5529999999999995,2,0.10829268292682925
opening,model_favorite,gap,0.1,45,0.16666666666666666,7.5,0.4222222222222222,2.939111111111111,4,30,0.11,3.3,0.5,2.28,2,0.11894736842105263
opening_mean,A,edge,0.3,74,0.33466216216216216,24.765,0.20270270270270271,9.902364864864865,5,19,0.19763157894736838,3.754999999999999,0.2631578947368421,9.248684210526315,2,0.2497177419354839
opening_mean,D,edge,0.0,286,-0.029947552447552445,-8.565,0.22727272727272727,4.571573426573426,3,127,0.33661417322834647,42.75,0.28346456692913385,4.7895669291338585,3,0.0045089285714285735
opening_mean,H,gap,0.1,34,0.3410294117647059,11.595,0.4117647058823529,3.563970588235294,5,25,0.04520000000000001,1.1300000000000003,0.48,2.5626000000000007,2,0.1880357142857143
opening_mean,agree_favorite,edge,0.15,34,0.14264705882352943,4.8500000000000005,0.5,2.3295588235294122,4,27,0.10407407407407414,2.810000000000002,0.5185185185185185,2.2274074074074073,3,0.09773809523809524
opening_mean,any,gap,0.1,67,0.16380597014925372,10.975,0.34328358208955223,3.9797761194029855,4,34,0.10367647058823531,3.525000000000001,0.47058823529411764,2.715441176470588,2,0.1338034188034188
opening_mean,disagree_model_pick,gap,0.01,58,-0.029913793103448237,-1.7349999999999977,0.3103448275862069,3.1440517241379307,3,29,0.014310344827586209,0.41500000000000004,0.3448275862068966,2.899310344827586,2,0.013935185185185207
opening_mean,dog>=3.5,gap,0.1,33,0.128939393939394,4.255000000000002,0.21212121212121213,5.402727272727272,4,4,0.08250000000000002,0.33000000000000007,0.25,6.115,1,0.09126506024096387
opening_mean,fav_odds<2,gap,0.01,66,-0.06083333333333336,-4.0150000000000015,0.5757575757575758,1.6837878787878788,3,67,0.021641791044776097,1.4499999999999984,0.6417910447761194,1.6180597014925373,2,-0.004612068965517253
opening_mean,market_favorite,edge,0.15,34,0.14264705882352943,4.8500000000000005,0.5,2.3295588235294122,4,27,0.10407407407407414,2.810000000000002,0.5185185185185185,2.2274074074074073,3,0.09773809523809524
opening_mean,mid_2-3.5,gap,0.1,32,0.16734375,5.355,0.4375,2.6559375,4,20,0.13750000000000004,2.750000000000001,0.45,2.5337499999999995,2,0.1053048780487805
opening_mean,model_favorite,gap,0.1,45,0.1595555555555556,7.1800000000000015,0.4222222222222222,2.9304444444444453,4,30,0.10650000000000004,3.195000000000001,0.5,2.2621666666666664,2,0.11557894736842106
