price_variant,split,favorite_bin,n,rps_model,rps_market,delta_market_minus_model,accuracy_model,accuracy_market
closing,development,weak <45%,177,0.23195920449727683,0.22405856749692965,-0.007900637000347183,0.3898305084745763,0.4576271186440678
closing,development,45-55%,143,0.21798084094838105,0.2109958843244481,-0.0069849566239329475,0.4755244755244755,0.4825174825174825
closing,development,55-65%,93,0.20970925743789878,0.19812514881113602,-0.011584108626762762,0.6236559139784946,0.6344086021505376
closing,development,strong >=65%,141,0.15604399468418345,0.1506103826683079,-0.005433612015875555,0.6950354609929078,0.6950354609929078
closing,locked_test,weak <45%,129,0.22168206844217977,0.21615133055579278,-0.005530737886386999,0.37209302325581395,0.3798449612403101
closing,locked_test,45-55%,95,0.20196424247257536,0.2069320895894823,0.004967847116906954,0.5578947368421052,0.5473684210526316
closing,locked_test,55-65%,75,0.2134327323329408,0.21730692438249793,0.0038741920495571347,0.5333333333333333,0.5333333333333333
closing,locked_test,strong >=65%,72,0.1509738614560046,0.15461048411082123,0.0036366226548166236,0.6805555555555556,0.6805555555555556
opening,development,weak <45%,180,0.23552867031639788,0.22906464722916173,-0.006464023087236148,0.38333333333333336,0.43333333333333335
opening,development,45-55%,140,0.21426603881928236,0.2086799785245234,-0.005586060294758943,0.4857142857142857,0.4928571428571429
opening,development,55-65%,110,0.20422074166493395,0.19279611584570022,-0.01142462581923373,0.6272727272727273,0.6363636363636364
opening,development,strong >=65%,124,0.15222996749223433,0.14823287431029908,-0.003997093181935252,0.7016129032258065,0.7016129032258065
opening,locked_test,weak <45%,140,0.22300561685783962,0.22014772613782502,-0.0028578907200146053,0.37142857142857144,0.37142857142857144
opening,locked_test,45-55%,87,0.20915418749606818,0.2108775484240071,0.0017233609279389273,0.5862068965517241,0.5632183908045977
opening,locked_test,55-65%,68,0.2172239441234484,0.2305210258966607,0.013297081773212316,0.47058823529411764,0.47058823529411764
opening,locked_test,strong >=65%,76,0.13779913080379966,0.1375918234351377,-0.00020730736866195199,0.7236842105263158,0.7236842105263158
opening_mean,development,weak <45%,181,0.23628606546403944,0.22910223939140412,-0.007183826072635319,0.39226519337016574,0.44751381215469616
opening_mean,development,45-55%,141,0.2122132889212823,0.20750981715044228,-0.0047034717708400176,0.475177304964539,0.475177304964539
opening_mean,development,55-65%,108,0.20444270927537217,0.19255899157044953,-0.011883717704922636,0.6388888888888888,0.6481481481481481
opening_mean,development,strong >=65%,124,0.15293176979999035,0.14938675486643482,-0.0035450149335555237,0.6935483870967742,0.6935483870967742
opening_mean,locked_test,weak <45%,141,0.22174186757784164,0.2196989102454055,-0.002042957332436146,0.36879432624113473,0.36879432624113473
opening_mean,locked_test,45-55%,86,0.20994821304959974,0.21109870766478525,0.0011504946151855155,0.6046511627906976,0.5813953488372093
opening_mean,locked_test,55-65%,68,0.21863645914571656,0.23072155679644826,0.012085097650731708,0.45588235294117646,0.45588235294117646
opening_mean,locked_test,strong >=65%,76,0.13779913080379966,0.13700835061952504,-0.0007907801842746143,0.7236842105263158,0.7236842105263158
open_close_mid,development,weak <45%,185,0.23260962093746115,0.22491533284113482,-0.007694288096326329,0.3945945945945946,0.4702702702702703
open_close_mid,development,45-55%,134,0.21403793063589993,0.20823632328970876,-0.005801607346191173,0.48507462686567165,0.48507462686567165
open_close_mid,development,55-65%,108,0.2057213400429656,0.1921078375114929,-0.013613502531472699,0.6296296296296297,0.6388888888888888
open_close_mid,development,strong >=65%,127,0.15591682157913184,0.1525966988557551,-0.0033201227233767283,0.6850393700787402,0.6850393700787402
open_close_mid,locked_test,weak <45%,137,0.22395301088314637,0.2183323633681236,-0.005620647515022781,0.36496350364963503,0.38686131386861317
open_close_mid,locked_test,45-55%,88,0.1964249220346545,0.20166185010833368,0.005236928073679176,0.625,0.6022727272727273
open_close_mid,locked_test,55-65%,71,0.21788712074177025,0.2256471508842312,0.007760030142460961,0.4647887323943662,0.4647887323943662
open_close_mid,locked_test,strong >=65%,75,0.14965628814709878,0.15119251650417623,0.0015362283570774515,0.6933333333333334,0.6933333333333334
