season,holdout_game,rps_v2,rps_book,d_book_v2,rps_paper,d_paper_v2
2016/17,1,0.3336250325466019,0.24513920836813544,-0.08848582417846648,0.229738903711967,-0.10388612883463491
2016/17,67,0.2622971961198066,0.17229880463068953,-0.08999839148911709,0.25159478199806884,-0.01070241412173778
2016/17,66,0.1480544743469757,0.223273198298235,0.07521872395125931,0.2623090712727457,0.11425459692577003
2016/17,65,0.17829418566108052,0.06725531808117628,-0.11103886757990424,0.07675580465784525,-0.10153838100323527
2016/17,64,0.2117589185252923,0.23678059003957147,0.02502167151427917,0.19241831403302667,-0.01934060449226563
2016/17,63,0.2514901323834588,0.28901320439969136,0.03752307201623256,0.21301544495738584,-0.03847468742607296
2016/17,62,0.31288945805972435,0.367204693765673,0.05431523570594865,0.3602370815191664,0.047347623459442045
2016/17,61,0.27714463129583844,0.362126630893493,0.08498199959765457,0.21502586430524695,-0.06211876699059149
2016/17,60,0.16214815590373172,0.20484591237756217,0.04269775647383045,0.2243092575711591,0.06216110166742739
2016/17,59,0.16915270683053168,0.12564004630300332,-0.04351266052752836,0.10996638717110509,-0.0591863196594266
2016/17,58,0.1158531928208564,0.05204818716718542,-0.06380500565367098,0.194844743781242,0.0789915509603856
2016/17,57,0.3237884740484889,0.3645941072470986,0.04080563319860975,0.36787795962297637,0.0440894855744875
2016/17,56,0.1383776032859206,0.1417675321676985,0.003389928881777887,0.12693217501262027,-0.011445428273300334
2016/17,55,0.24885174969572607,0.3684472558959955,0.1195955062002694,0.24595146699320886,-0.002900282702517215
2016/17,54,0.07247462447177655,0.1272948535245502,0.054820229052773645,0.17865685286516353,0.10618222839338698
2016/17,53,0.27718203128579255,0.3511717616985905,0.07398973041279794,0.23930216078769043,-0.037879870498102125
2016/17,52,0.5412021116861924,0.6786383633177541,0.1374362516315617,0.4670608917606622,-0.07414121992553019
2016/17,51,0.3161886468037943,0.2867422733542181,-0.029446373449576235,0.16551022603242552,-0.1506784207713688
2016/17,50,0.36948298886211023,0.3341665266499756,-0.035316462212134636,0.3161729699739554,-0.05331001888815484
2016/17,49,0.1428485330466426,0.18274315901158927,0.03989462596494667,0.2975830530606728,0.15473452001403018
2016/17,68,0.1352487660871614,0.13381914860852234,-0.001429617478639067,0.13881295510015612,0.003564189012994712
2016/17,70,0.4114974293505287,0.28399907166724686,-0.12749835768328183,0.40234100355952,-0.009156425791008671
2016/17,71,0.010156402329222752,0.005397626883248337,-0.004758775445974414,0.05424332347622828,0.044086921147005534
2016/17,72,0.07326848119776719,0.07259979472329156,-0.0006686864744756271,0.19500409691616546,0.12173561571839828
2016/17,92,0.35501751810443805,0.23423092058104572,-0.12078659752339233,0.22265892863101538,-0.13235858947342266
2016/17,91,0.2139587599733122,0.369565983614964,0.1556072236416518,0.35478497984515384,0.14082621987184163
2016/17,90,0.24571413177369447,0.31009274247032337,0.0643786106966289,0.16559458875764402,-0.08011954301605045
2016/17,89,0.21131526920992003,0.23767487547378485,0.026359606263864827,0.23482790801215633,0.023512638802236308
2016/17,88,0.13032248344456884,0.13797774234236088,0.007655258897792033,0.13366015031379042,0.0033376668692215727
2016/17,87,0.026071846841058583,0.017860577506907067,-0.008211269334151516,0.13068334930309386,0.10461150246203528
2016/17,86,0.019638911460882535,0.013138021400510529,-0.0065008900603720065,0.04797267494863316,0.028333763487750623
2016/17,85,0.11868120071515026,0.13018589937752856,0.011504698662378299,0.1450820850642902,0.026400884349139953
2016/17,84,0.23193758795480166,0.06720646654688756,-0.1647311214079141,0.14201955710563702,-0.08991803084916464
2016/17,48,0.12442897824116118,0.13525879137713864,0.010829813135977459,0.1388631967598831,0.014434218518721911
2016/17,83,0.13698484335539743,0.13261177341292232,-0.004373069942475105,0.14341321523261039,0.006428371877212957
2016/17,81,0.31513551848347354,0.26286895046236386,-0.05226656802110968,0.33704023284455675,0.02190471436108321
2016/17,80,0.1328274557611635,0.13374603927211642,0.0009185835109529195,0.15198663707994392,0.019159181318780416
2016/17,79,0.1898658905335822,0.21447647345179915,0.024610582918216967,0.36194799494150653,0.17208210440792435
2016/17,78,0.2386777959364258,0.1334990712062454,-0.10517872473018039,0.1874642235454386,-0.0512135723909872
2016/17,77,0.1272221012810386,0.10660570449300369,-0.020616396788034924,0.3260836975929928,0.19886159631195421
2016/17,76,0.20912645612774336,0.16803301798753967,-0.04109343814020369,0.1709189880537126,-0.03820746807403075
2016/17,75,0.15802088855579535,0.14764095479504952,-0.010379933760745835,0.1315074960472245,-0.02651339250857085
2016/17,74,0.1136302125431955,0.12992434938161918,0.01629413683842368,0.1417681565363877,0.028137943993192194
2016/17,73,0.3518284177933627,0.39567046514367527,0.04384204735031255,0.28889754602518164,-0.06293087176818107
2016/17,82,0.23814018363798717,0.25034383638224156,0.01220365274425439,0.13612567844047796,-0.10201450519750921
2016/17,47,0.18153741825792002,0.1927157893282149,0.011178371070294874,0.11262857537918314,-0.06890884287873689
2016/17,69,0.1999691752603066,0.1680382767916862,-0.031930898468620406,0.1848325995438711,-0.015136575716435507
2016/17,45,0.18929516019085021,0.1823012933838918,-0.006993866806958404,0.1305376752542368,-0.058757484936613424
2016/17,21,0.3373871657254281,0.30671346399160937,-0.030673701733818726,0.17626444453630644,-0.16112272118912166
2016/17,20,0.1807668973799288,0.14581872300068444,-0.03494817437924436,0.14986535921117627,-0.030901538168752518
2016/17,19,0.24176813741748077,0.21663672277793292,-0.02513141463954785,0.17760199185612813,-0.06416614556135264
2016/17,18,0.06415723299442033,0.04318183381600878,-0.020975399178411555,0.08212175847581481,0.017964525481394475
2016/17,17,0.1512549452677611,0.15349146368561759,0.0022365184178564923,0.12839350089677942,-0.02286144437098167
2016/17,16,0.29024620207492663,0.1788435469065618,-0.11140265516836484,0.22625302322052918,-0.06399317885439745
2016/17,15,0.11324465852501409,0.12469625451683068,0.011451595991816596,0.11786119041380247,0.004616531888788383
2016/17,14,0.3377819411432812,0.33508344860679934,-0.0026984925364818557,0.31402550883076563,-0.023756432312515563
2016/17,12,0.27356342676928025,0.25040791191310585,-0.023155514856174397,0.26302422525911945,-0.0105392015101608
2016/17,22,0.3582159975032464,0.5456724484973243,0.18745645099407793,0.2379858998238757,-0.1202300976793707
2016/17,11,0.16623687454500136,0.04611861768960082,-0.12011825685540053,0.22717902305158255,0.060942148506581195
2016/17,9,0.14064615605324776,0.12889249531072983,-0.011753660742517935,0.13716619185314236,-0.0034799642001054065
2016/17,8,0.13819251261735227,0.12391594294584836,-0.014276569671503911,0.1347959492035151,-0.003396563413837178
2016/17,7,0.17758701828399254,0.22980483242960265,0.05221781414561011,0.22243556654433738,0.044848548260344845
2016/17,6,0.14550673396562708,0.20403391895510953,0.05852718498948245,0.13270150151221377,-0.012805232453413307
2016/17,5,0.31270513557235874,0.36038734352988333,0.04768220795752459,0.2547932274010261,-0.05791190817133263
2016/17,4,0.07375735003069221,0.0905224187966552,0.01676506876596298,0.18297225379417387,0.10921490376348165
2016/17,3,0.02151187548559003,0.035019794426228025,0.013507918940637995,0.08157178783280819,0.060059912347218164
2016/17,2,0.09872972858583719,0.1071413767721055,0.008411648186268314,0.15770927559873515,0.05897954701289797
2016/17,46,0.45515258216919596,0.4472390291237436,-0.007913553045452382,0.30010684608557797,-0.155045736083618
2016/17,10,0.2901536190461738,0.2461619733388538,-0.043991645707320004,0.31192373017374925,0.02177011112757543
2016/17,23,0.02519385014272573,0.03151063419838458,0.006316784055658851,0.10617647361819117,0.08098262347546545
2016/17,13,0.021015341190006878,0.009294481511636936,-0.011720859678369942,0.062000841579243106,0.04098550038923623
2016/17,44,0.18503776848846473,0.17861166367566703,-0.006426104812797706,0.22014693626128345,0.03510916777281872
2016/17,24,0.25078844912652487,0.22654424036660786,-0.024244208759917008,0.15245475711890547,-0.0983336920076194
2016/17,43,0.1054209239716169,0.04961278291260019,-0.05580814105901671,0.07503694757889529,-0.030383976392721612
2016/17,42,0.12407045629912455,0.1649823390925416,0.04091188279341704,0.17601395322572913,0.051943496926604577
2016/17,41,0.10285937164923306,0.05326683872976948,-0.04959253291946358,0.10948714097817999,0.006627769328946931
2016/17,40,0.10374431876390527,0.12252424364485648,0.018779924880951204,0.10021983012258255,-0.0035244886413227233
2016/17,39,0.3216685089573885,0.28119147904972475,-0.040477029907663775,0.26424157260157166,-0.05742693635581686
2016/17,37,0.1505919079271611,0.12851704317784532,-0.022074864749315776,0.13679981223806192,-0.01379209568909917
2016/17,36,0.36750223594483417,0.2543518601392933,-0.11315037580554088,0.3561120525750127,-0.01139018336982145
2016/17,35,0.1449316339629446,0.06164484405237658,-0.08328678991056801,0.12966335988191288,-0.015268274081031707
2016/17,34,0.3816132404750422,0.28517362142711805,-0.09643961904792414,0.33583500823773565,-0.04577823223730654
2016/17,38,0.08539692833994143,0.0621162603814722,-0.023280667958469232,0.12342124026049936,0.03802431192055793
2016/17,25,0.290326000616698,0.2918678654907526,0.0015418648740546104,0.3824430374334645,0.09211703681676653
2016/17,32,0.24244998852132366,0.2875667539885253,0.04511676546720167,0.17091781697646563,-0.07153217154485803
2016/17,31,0.151606200126742,0.17477695492558035,0.023170754798838344,0.1390636722199759,-0.012542527906766104
2016/17,30,0.15927592830322287,0.1466139387819335,-0.012661989521289385,0.12329462266942243,-0.03598130563380045
2016/17,29,0.49603299118466937,0.5420028991477268,0.045969907963057444,0.412881313009701,-0.08315167817496838
2016/17,28,0.14530181497051506,0.14113366366602914,-0.0041681513044859175,0.17899563595788875,0.033693820987373696
2016/17,27,0.32021930018250866,0.19552827453422283,-0.12469102564828582,0.2411333769043802,-0.07908592327812847
2016/17,26,0.13104555508384594,0.10710165352790914,-0.0239439015559368,0.2913641053785272,0.16031855029468126
2016/17,33,0.18216719396241288,0.14350692327740458,-0.0386602706850083,0.11709138602625901,-0.06507580793615386
2017/18,62,0.40997257668605724,0.4210851646496294,0.011112587963572174,0.40868415432931426,-0.0012884223567429798
2017/18,63,0.2389629787527447,0.19141362949251314,-0.04754934926023155,0.18771948299193664,-0.051243495760808055
2017/18,64,0.0535633515875831,0.058819342832819206,0.005255991245236104,0.13383114165754786,0.08026779006996476
2017/18,65,0.16263685047991852,0.2147516935726132,0.05211484309269468,0.17556647454058272,0.012929624060664197
2017/18,69,0.18165567026227933,0.18247505702548303,0.0008193867632037,0.22411724170795727,0.04246157144567794
2017/18,67,0.056375680092882144,0.03580702146587372,-0.02056865862700842,0.10626538298805803,0.049889702895175886
2017/18,68,0.12180468751487229,0.14213584525625567,0.020331157741383374,0.14319296397866121,0.02138827646378892
2017/18,61,0.24207500427183354,0.17095545897042638,-0.07111954530140716,0.21127923012337232,-0.030795774148461214
2017/18,66,0.13029378613331705,0.13703217610418544,0.006738389970868397,0.12868656935830702,-0.001607216775010023
2017/18,60,0.34439291962025875,0.3056503725145956,-0.03874254710566316,0.33089014576976317,-0.013502773850495586
2017/18,50,0.06730366596421186,0.07647563829149737,0.009171972327285505,0.12523307140633286,0.057929405442120996
