comparison,n,mean_delta_rps,rel_pct,ci_lo,ci_hi,wilcoxon_p,frac_v2_better
v2_vs_bookmaker,925,-0.003514785042542519,-1.7624939883022546,-0.007441919598992361,0.00037745892491832894,0.009835309697129733,0.46594594594594596
v2_vs_paper,925,0.007852959216882428,3.7255097350423405,0.0034471899071567844,0.012192671171246738,3.8976274045068574e-05,0.5502702702702703
