season,variant,rhat_max,historical_seasons
2022/23,current_only,4.126893353810216,
2022/23,historical,5.432730149502175,"2019/20,2020/21,2021/22"
2023/24,current_only,3.6261582622420443,
2023/24,historical,3.957251978310078,"2020/21,2021/22,2022/23"
2024/25,current_only,3.40078596716812,
2024/25,historical,3.1426201881321725,"2021/22,2022/23,2023/24"
