season,date,match_id,variant_current,outcome,p_home_current,p_draw_current,p_away_current,rps_current,variant_historical,p_home_historical,p_draw_historical,p_away_historical,rps_historical,delta_rps,mean_abs_probability_shift
2022/23,2023-03-12,2022/23|2023-03-12|Freiburg|Hoffenheim,current_only,0,0.5564099142361055,0.23312166539379953,0.21046842037009525,0.12053456008055112,historical,0.5532865220342682,0.2301570131940012,0.21655646477173093,0.12322481691533507,-0.0026902568347839523,0.004058696267757113
2022/23,2023-03-12,2022/23|2023-03-12|Werder Bremen|Leverkusen,current_only,2,0.2546262181094311,0.2593788449140453,0.48599493697652346,0.16451785788123974,historical,0.22389943391926376,0.2536226352776386,0.5224779308030977,0.139079141539729,0.025438716341510736,0.024321995884382736
2022/23,2023-03-12,2022/23|2023-03-12|Wolfsburg|Union Berlin,current_only,1,0.5003764258911297,0.2984497950752144,0.20117377903365602,0.1454237284791317,historical,0.47296245216488675,0.30315331798111333,0.22388422985399936,0.13690881476757072,0.00851491371156099,0.018275982484161752
2022/23,2023-03-17,2022/23|2023-03-17|M'gladbach|Werder Bremen,current_only,1,0.5522273858390706,0.2585015222568327,0.18927109190409638,0.1703893159506114,historical,0.631644898421163,0.22403119636868282,0.14432390521015442,0.20990233365829544,-0.039513017707684034,0.05294500838806141
2022/23,2023-03-18,2022/23|2023-03-18|Augsburg|Schalke 04,current_only,1,0.433979187331395,0.2947092568632148,0.2713115558053901,0.1309739476751797,historical,0.4980848215021433,0.26367080756794176,0.23824437092991474,0.1524244348453064,-0.02145048717012671,0.04273708944716557
2022/23,2023-03-18,2022/23|2023-03-18|Bochum|RB Leipzig,current_only,0,0.15173517736641917,0.1960849044899147,0.652179918143666,0.5724459274737297,historical,0.15201116591263253,0.19763773393948592,0.6503511001478816,0.5710208081002064,0.001425119373523298,0.0012192119971896898
2022/23,2023-03-18,2022/23|2023-03-18|Dortmund|FC Koln,current_only,0,0.5687735164095984,0.2432318115563259,0.18799467203407566,0.1106491384314713,historical,0.550130692542646,0.2500926007849964,0.19977670667235745,0.12114656316050623,-0.010497424729034935,0.012428549244634888
2022/23,2023-03-18,2022/23|2023-03-18|Hoffenheim|Hertha,current_only,0,0.4603096487142569,0.2798438209766273,0.2598465303091159,0.17939294729230754,historical,0.46186461430322184,0.28043093525491763,0.25770445044186074,0.17800063855828074,0.0013923087340267926,0.0014280532448368206
2022/23,2023-03-18,2022/23|2023-03-18|Stuttgart|Wolfsburg,current_only,2,0.4650024750974401,0.26682538262000377,0.2681721422825558,0.3758996575890243,historical,0.4158781932922207,0.2849126091782918,0.29920919752948766,0.3320312102416333,0.04386844734739104,0.03274952120347976
2022/23,2023-03-19,2022/23|2023-03-19|Leverkusen|Bayern Munich,current_only,0,0.2880883546402489,0.23746401174463835,0.47444763361511255,0.36595937392090416,historical,0.29709001084884207,0.23743499914580105,0.46547499000535664,0.35537470958448397,0.010584664336420191,0.00600110413906213
