season,n,rps_current,rps_historical,delta_rps,mean_abs_probability_shift
2022/23,93,0.20255421517071212,0.2039141093251994,-0.0013598941544872675,0.014824361573692641
2023/24,92,0.18082665221115193,0.18265247496532575,-0.0018258227541738004,0.014721775592086261
2024/25,92,0.22026507878176993,0.2209161832167108,-0.0006511044349408908,0.013777746310261279
