season,team_home_advantage,team_home_prior_sd,match_id,date,home_team,away_team,home_goals,away_goals,season_game,holdout_game,actual_result,actual_result_idx,p_home_v2,p_draw_v2,p_away_v2,p_home_book,p_draw_book,p_away_book,rps_v2,rps_book,d_book_v2,rps_paper,d_paper_v2
2016/17,False,0.15,2016/17|2017-03-12|Hamburg|M'gladbach,2017-03-12,Hamburg,M'gladbach,2,1,215,1,home_win,0,0.2719825645705775,0.31136902054896953,0.4166484148804528,0.37432299641216665,0.3113416668571037,0.31433533673072966,0.3518026439558137,0.24513920836813544,-0.10666343558767824,0.24012095461495597,-0.1116816893408577
2016/17,False,0.15,2016/17|2017-05-06|Bayern Munich|Darmstadt,2017-05-06,Bayern Munich,Darmstadt,1,0,281,67,home_win,0,0.871797250702372,0.071597969393081,0.05660477990454702,0.9010479709498631,0.06727001974899663,0.031682009301140346,0.009820023017756332,0.005397626883248337,-0.0044223961345079945,0.05546983686197958,0.045649813844223244
2016/17,False,0.15,2016/17|2017-05-05|FC Koln|Werder Bremen,2017-05-05,FC Koln,Werder Bremen,4,3,280,66,home_win,0,0.5063079504751153,0.26825216261826945,0.22543988690661557,0.41027762592160283,0.2754391926833233,0.31428318139507394,0.1472774911862743,0.223273198298235,0.07599570711196069,0.22850832570622764,0.08123083451995333
2016/17,False,0.15,2016/17|2017-04-30|Hoffenheim|Ein Frankfurt,2017-04-30,Hoffenheim,Ein Frankfurt,1,0,279,65,home_win,0,0.4581848520987579,0.29564323705517503,0.24617191084606738,0.6584686263404176,0.20786403670491999,0.13366733695466243,0.1770821320924244,0.06725531808117628,-0.10982681401124812,0.09500661477351557,-0.08207551731890883
2016/17,False,0.15,2016/17|2017-04-30|Augsburg|Hamburg,2017-04-30,Augsburg,Hamburg,4,0,278,64,home_win,0,0.4057674794606012,0.2955656505830311,0.29866686995636793,0.3879631932355136,0.29743844814722703,0.3145983586172593,0.22115709383807045,0.23678059003957147,0.015623496201501025,0.20536224134806672,-0.01579485249000373
2016/17,False,0.15,2016/17|2017-04-29|Wolfsburg|Bayern Munich,2017-04-29,Wolfsburg,Bayern Munich,0,6,277,63,away_win,2,0.1964261043849683,0.25055213391257103,0.5530217617024608,0.1192571606065455,0.18053293926073738,0.7002099001327172,0.11918637999771317,0.05204818716718542,-0.06713819283052774,0.176580740851549,0.05739436085383584
2016/17,False,0.15,2016/17|2017-04-29|Werder Bremen|Hertha,2017-04-29,Werder Bremen,Hertha,2,0,276,62,home_win,0,0.47629238046076944,0.27788444243904153,0.2458231771001887,0.5448287930933908,0.24517295689202587,0.2099982500145832,0.16734935258153918,0.12564004630300332,-0.04170930627853586,0.11719024739459132,-0.05015910518694787
2016/17,False,0.15,2016/17|2017-04-29|RB Leipzig|Ingolstadt,2017-04-29,RB Leipzig,Ingolstadt,0,0,275,61,draw,1,0.5385455445690479,0.2646590675091579,0.19679538792179407,0.6200639276243105,0.22115146854320789,0.1587846038324815,0.1643798641412309,0.20484591237756217,0.040466048236331265,0.25780849199919653,0.09342862785796563
2016/17,False,0.15,2016/17|2017-04-29|Mainz|M'gladbach,2017-04-29,Mainz,M'gladbach,1,2,274,60,away_win,2,0.38695817320828063,0.3273378190042401,0.28570400778747923,0.4538558786346397,0.2730720606826802,0.2730720606826802,0.3299776961517796,0.367204693765673,0.03722699761389342,0.321209260278983,-0.008768435872796576
2016/17,False,0.15,2016/17|2017-04-29|Dortmund|FC Koln,2017-04-29,Dortmund,FC Koln,0,0,273,59,draw,1,0.6947941751576943,0.19135493069399667,0.11385089414830904,0.7546580308183715,0.15305077068079298,0.09229119850083564,0.2478504859657151,0.28901320439969136,0.04116271843397626,0.21087151207068294,-0.03697897389503216
